職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
應用科學研究人員,醫療照護╱環境衛生,40000,44000,48000,52000,56000,學術研究_教育師資,應用科學研究人員
應用科學研究人員,農林漁牧╱水電資源,50000,55000,60000,65000,70000,學術研究_教育師資,應用科學研究人員
應用科學研究人員,教育╱出版╱藝文相關,58400,64200,70100,75900,81700,學術研究_教育師資,應用科學研究人員
政治相關研究人員,政治╱宗教╱社福,40000,44000,48000,52000,56000,學術研究_教育師資,政治相關研究人員
政治相關研究人員,法律╱會計╱顧問╱研發╱設計,46000,50600,55200,59800,64400,學術研究_教育師資,政治相關研究人員
政治相關研究人員,大眾傳播相關,36000,39600,43200,46800,50400,學術研究_教育師資,政治相關研究人員
政治相關研究人員,教育╱出版╱藝文相關,33000,36300,39600,42900,46200,學術研究_教育師資,政治相關研究人員
教授／副教授／助理教授,電子科技╱資訊╱軟體╱半導體,70000,77000,84000,91000,98000,學術研究_教育師資,教授／副教授／助理教授
教授／副教授／助理教授,金融投顧╱保險相關,80000,88000,96000,104000,112000,學術研究_教育師資,教授／副教授／助理教授
教授／副教授／助理教授,醫療照護╱環境衛生,100000,110000,120000,130000,140000,學術研究_教育師資,教授／副教授／助理教授
教授／副教授／助理教授,旅遊╱休閒╱運動,50000,55000,60000,65000,70000,學術研究_教育師資,教授／副教授／助理教授
教授／副教授／助理教授,教育╱出版╱藝文相關,72000,79200,86400,93600,100800,學術研究_教育師資,教授／副教授／助理教授
數學研究人員,電子科技╱資訊╱軟體╱半導體,36000,39600,43200,46800,50400,學術研究_教育師資,數學研究人員
數學研究人員,教育╱出版╱藝文相關,45000,49500,54000,58500,63000,學術研究_教育師資,數學研究人員
日語教師,教育╱出版╱藝文相關,34000,37400,40800,44200,47600,學術研究_教育師資,日語教師
歷史研究人員,電子科技╱資訊╱軟體╱半導體,26000,28600,31200,33800,36400,學術研究_教育師資,歷史研究人員
歷史研究人員,政治╱宗教╱社福,32000,35200,38400,41600,44800,學術研究_教育師資,歷史研究人員
歷史研究人員,法律╱會計╱顧問╱研發╱設計,41000,45100,49200,53300,57400,學術研究_教育師資,歷史研究人員
歷史研究人員,教育╱出版╱藝文相關,30000,33000,36000,39000,42000,學術研究_教育師資,歷史研究人員
歷史研究人員,批發╱零售,36000,39600,43200,46800,50400,學術研究_教育師資,歷史研究人員
氣象相關研究人員,一般傳統製造,38000,41800,45600,49400,53200,學術研究_教育師資,氣象相關研究人員
氣象相關研究人員,政治╱宗教╱社福,57500,63300,69000,74800,80500,學術研究_教育師資,氣象相關研究人員
氣象相關研究人員,法律╱會計╱顧問╱研發╱設計,39500,43500,47400,51400,55300,學術研究_教育師資,氣象相關研究人員
氣象相關研究人員,醫療照護╱環境衛生,50000,55000,60000,65000,70000,學術研究_教育師資,氣象相關研究人員
氣象相關研究人員,農林漁牧╱水電資源,42000,46200,50400,54600,58800,學術研究_教育師資,氣象相關研究人員
氣象相關研究人員,教育╱出版╱藝文相關,38000,41800,45600,49400,53200,學術研究_教育師資,氣象相關研究人員
物理相關研究人員,電子科技╱資訊╱軟體╱半導體,48000,52800,57600,62400,67200,學術研究_教育師資,物理相關研究人員
物理相關研究人員,法律╱會計╱顧問╱研發╱設計,59000,64900,70800,76700,82600,學術研究_教育師資,物理相關研究人員
物理相關研究人員,教育╱出版╱藝文相關,55000,60500,66000,71500,77000,學術研究_教育師資,物理相關研究人員
特殊教育教師,電子科技╱資訊╱軟體╱半導體,42000,46200,50400,54600,58800,學術研究_教育師資,特殊教育教師
特殊教育教師,政治╱宗教╱社福,33000,36300,39600,42900,46200,學術研究_教育師資,特殊教育教師
特殊教育教師,金融投顧╱保險相關,50000,55000,60000,65000,70000,學術研究_教育師資,特殊教育教師
特殊教育教師,法律╱會計╱顧問╱研發╱設計,33000,36300,39600,42900,46200,學術研究_教育師資,特殊教育教師
特殊教育教師,醫療照護╱環境衛生,39500,43500,47400,51400,55300,學術研究_教育師資,特殊教育教師
特殊教育教師,一般服務業,35000,38500,42000,45500,49000,學術研究_教育師資,特殊教育教師
特殊教育教師,旅遊╱休閒╱運動,45000,49500,54000,58500,63000,學術研究_教育師資,特殊教育教師
特殊教育教師,餐飲╱住宿服務,175000,192500,210000,227500,245000,學術研究_教育師資,特殊教育教師
特殊教育教師,教育╱出版╱藝文相關,37000,40700,44400,48100,51800,學術研究_教育師資,特殊教育教師
生物學專業與研究人員,電子科技╱資訊╱軟體╱半導體,70000,77000,84000,91000,98000,學術研究_教育師資,生物學專業與研究人員
生物學專業與研究人員,一般傳統製造,41000,45100,49200,53300,57400,學術研究_教育師資,生物學專業與研究人員
